Band;FanfictionCount
終焉ノ栞プロジェクト | Shuuen no Shiori Project;99
The Ramones;98
The Brobecks;97
Soundgarden (Band);96
David Cook (Musician);94
华晨宇 | Hua Chenyu (Musician);94
Apocalyptica (Band);93
Frank Iero and the Future Violents (Band);93
GNZ48 (Band);93
Weki Meki (Band);93
Hyde (Musician) RPF;92
P1Harmony (Band);92
Mayday (Taiwan Band);91
Boyfriend (Band);90
Coldplay (Band);90
History (Band);90
Royz;89
Sound Horizon (Band) RPF;88
Lemon Demon (Musician);87
The Wanted (Band);86
Intersection (Band);85
The Cab (Band);84
Dr. Carmilla (Musician);84
Hush Sound;84
己龍 | Kiryuu;84
Within Temptation (Band);84
All-American Rejects;83
AOA | Ace of Angels;83
As It Is (Band);83
Hatari (Band);83
MCND (Band);83
The Strokes;83
五堅情 | W0LF(S) (Band);83
大波浪 | THE BIG WAVE (Band);79
The Like (Band);79
Midtown (Band);78
燃烧吧少年! | X-Fire RPF;78
Anthrax (US Band);77
Lady Gaga (Musician);77
Simon & Garfunkel;77
SKE48;77
The Young Blood Chronicles - Fall Out Boy (Music Video);77
Foo Fighters;76
Genghis Khan - Miike Snow (Music Video);76
Kasabian;76
Lana Del Rey (Musician);76
SS501;76
4minute (Band);75
BEJ48 (Band);75
Pencey Prep;75
Tackey & Tsubasa (Band);75
MUCC;74
SID (Japan Band);73
Ariana Grande (Musician);72
EVERGLOW (Band);72
SBFIVE (Band);72
Nightmare (Band);71
Good Charlotte;70
Tam Lin (Traditional Ballad);70
15& (Band);69
Miyavi (Musician);69
Selena Gomez (Musician);69
Alkaline Trio (Band);68
The Move (Band);68
Spice Girls;68
CROSS GENE;67
H&D (Korea Band);67
America's Suitehearts - Fall Out Boy (Music Video);66
VAV (Band);66
Bad Blood - Taylor Swift (Music Video);65
DEAN (Korean Musician);65
Flight of the Conchords - All Media Types;65
MILGRAM (Music Videos);65
Powerwolf (Band);65
Chungha (Musician);64
The Cure (Band);64
FANXY CHILD (Band);64
Love-tune | 7ORDER (Band);64
Skid Row (US Band);64
DIAURA;63
DRIPPIN (Korea Band);63
Elton John (Musician);63
The Network (Band);63
Hello Future - NCT Dream (Music Video);62
KARA (Band);62
MY FIRST STORY (Band);62
Rush (Band);62
ZE:A (Band);62
Агата Кристи | Agatha Christie (Band);61
Co-ed School (Band);61
Daenamhyup | DNH;60
Death Spells (Band);60
Hinatazaka46 (Band);60
McBusted (Band);60
PVRIS (Band);60
Skrillex (Musician);60
X Factor (Italy) RPF;60
After School (Band);58
Jupiter (Band);58
Speed (Korea Band);58
VAMPS (Japan Band);58
A.B.C.-Z;57
Iron Maiden (Band);57
lynch. (Band);57
Momoland (Band);57
Poison (US Band);57
R5 (Band);57
Three Days Grace (Band);57
걸어 | All in - Monsta X (Music Video);56
Magna Carta Cartel (Band);56
SpeXial (Band);56
Starlight Brigade - TWRP ft. Dan Avidan (Music Video);56
Years & Years (Band);56
Asking Alexandria (Band);55
The Killers (Band);55
SISTAR;55
BROCKHAMPTON (Band);54
IMFACT (Band);54
Kep1er (Band);54
Sakurazaka46 (Band);54
