Band;FanfictionCount
Kalafina (Band);2
Kamen Rider Girls (Band);2
Karakuri Series - Hitoshizuku-P x Yama (Songs);2
Kelly Clarkson (Musician);2
KHRYST+ (Band);2
KIDZ BOP (Band);2
Kings of Convenience;2
Knocked Loose (Band);2
Компромисс - БИ-2 | Kompromiss - BI-2 (Music Video);2
Kraftklub;2
Kyuss (Band);2
LA Devotee - Panic! at the Disco (Music Video);2
La'cryma Christi;2
La'miss†fairy;2
Lacuna Coil;2
Lady Antebellum (Band);2
Larger Than Life - Backstreet Boys (Music Video);2
Laura Jane Grace & The Devouring Mothers (Band);2
Lead (Japan Band);2
Lebanon Hanover (Band);2
Легендарные пластилиновые ноги | Legendarniy Plastilinovie Nogy (Band);2
libidO - OnlyOneOf (Music Video);2
The Lilac Time (Band);2
LipBubble (Band);2
Loco (Korea Musician);2
Lonely's Lunch - You Say Party (Music Video);2
Lostprophets;2
Love Amongst Ruin (Band);2
Love Killa - Monsta X (Music Video);2
Love Robot (Band);2
LoVendoЯ;2
Luke Bryan (Musician);2
LUNARSOLAR (Band);2
Лётчик - БИ-2 | Lyotchik - BI-2 (Music Video);2
M.O.N.T (Korea Band);2
M2M (Band);2
Mac DeMarco (Musician);2
Madeth Gray'll;2
Madina Lake;2
Mallory Knox (Band);2
The Mariner's Revenge Song - The Decemberists;2
MARMELLO (Band);2
MattyB (Musician) RPF;2
Meet Me Halfway - Black Eyed Peas (Music Video);2
The Megas (Band);2
Meinhard (Band);2
Methyl Ethel (Band);2
Metro Station;2
Migos (Band);2
Monoral;2
Monte Pittman (Musician);2
马赛克 | Mosaic (China Band);2
Mother Mother (Band);2
Motherlover - The Lonely Island (Music Video);2
МРФ | MRF (Russia Band);2
Mudvayne (Band);2
N.CUS (Band);2
N.Tic (Band);2
NEEDTOBREATHE (Band);2
Nell (Band);2
Never Close Our Eyes - Adam Lambert (Music Video);2
The Never Ending (Band);2
New Edition (Band);2
New Found Glory (Band);2
Niila (Musician) RPF;2
Ninth Wave (Song Cycle);2
Now United (Band);2
NRK Lydverket;2
NS Yoon-G (Musician);2
Nuclear Assault (Band);2
Nul (Japan Band);2
Nyan Cat - saraj00n (Music Video);2
Oblivion Dust (Band);2
ОддисС | OddisS (Band);2
Offroad (Band);2
Olly Murs (Musician);2
Оля и Монстр | Olya e Monstr (Band);2
The Orion Experience (Band);2
ORβIT (Band);2
Otep (Band);2
The Outlandish Knight (Traditional Song);2
Overkill (Band);2
OXQ (Thailand Band);2
P Stew's Cowboy Classics - Patrick Stewart (Music Video);2
Phantom - Nathan Sharp (Music Video);2
Phil Ochs (Musician);2
The Piass;2
PIG (UK Band);2
Placebo (Japan Band);2
El Pony Pisador (Band);2
Prana | Wire Tap in My Ear;2
Prozzäk | Simon and Milo (Band);2
PUP (Band);2
Pyromania (Band);2
Que Raro - Feid & J. Balvin (Music Video);2
Quiet Riot (Band);2
Rabiosa - Shakira (Music Video);2
The Raconteurs (Band);2
Radioactive Chicken Heads (Band);2
Rare Americans (Band);2
Reba McEntire (Musician);2
Reboot Me - Jakeneutron ft. Eleanor Forte (Music Video);2
Recoil (Band);2
REDSQUARE (Band);2
Reik (Band);2
Relient K (Band);2
Rescue - KAT-TUN (Music Video);2
Rice (Band);2
Ride (Band);2
ROAM (Band);2
Rollins Band (Band);2
Romance - Wild Flag (Music Video);2
ROMEO (Band);2
Rose Noire (Band);2
Rose-Colored Boy - Paramore (Music Video);2
Rough - GFriend (Music Video);2
Round and Round - Selena Gomez (Music Video);2
Royal Blood (Band);2
Rush Rush - Paula Abdul (Music Video);2
S.H.E.;2
S.I.S (Korea Band);2
SATURDAY (Korea Band);2
Savatage (Band);2
SayWeCanFly;2
Scissor Sisters;2
SEEART (Band);2
SEKAI NO OWARI (Band);2
Sendai Kamotsu (Band);2
Seventh Void (Band);2
La Shark;2
SHAZNA (Band);2
She Talks To Rainbows - Shooter Jennings (Music Video);2
Sheytoons (Band);2
Shoot the Freak RPF;2
Shotgun Messiah;2
Shounenki (Band);2
Sia (Musician) RPF;2
Silvertomb (Band);2
Simple Creatures (Band);2
SING女团 | SING Girls' Group;2
Sky Sailing (Band);2
Sleater-Kinney (Band);2
Sleigh Bells (Band);2
Snow Patrol (Band);2
So What - LOONA (Music Video);2
Social Code (Band);2
Soft Machine (Band);2
Song Reader - Beck;2
Sons of All Pussys (Band);2
Sons of an Illustrious Father (Band);2
声音玩具 | Soundtoy (Band);2
SPECTRUM (Korea Band);2
Spooky Scary Skeletons - Andrew Gold (Unofficial Music Video);2
Stam1na (Band);2
Star Rider (KAT-TUN Music Video);2
State Champs (Band);2
The Station Breaks (Band);2
Status Quo (Band);2
STELLA... (Band);2
Stillste Stund (Band);2
Sting (Musician) RPF;2
The Strypes (Band);2
STU48;2
Subway to Sally (Band);2
Sugar Ray;2
Super Five (Band);2
SVN | Seven Girl Band (UK Band);2
"Synk;yet";2
Tab Benoit (Musician);2
Tangram (Band);2
Tarot (Band);2
Taylor Swift - Taylor Swift (Album 2006);2
Team Sleep (Band);2
The Tears (Band);2
Tech N9ne (Musician);2
Teeth - Lady Gaga (Music Video);2
Tempt (Thailand Band);2
Tenacious D (Band);2
TheFatRat (Musician) RPF;2
Them Crooked Vultures (Band);2
Theory of a Deadman (Band);2
These Immortal Souls (Band);2
Tiny Tim (Musician) RPF;2
Titanium - David Guetta ft. Sia (Music Video);2
TLC (Band);2
Todd Rundgren (Musician);2
東京マシン | Tokyo Machine (Musician);2
Tom Waits (Musician);2
至上励合 | Top Combine (Band);2
Tori Kelly (Musician);2
Total Eclipse of the Heart - Bonnie Tyler (Music Video);2
Trilogy (Midnight City-Reunion-Wait) - M83 (Music Videos);2
Turn Down for What - DJ Snake & Lil Jon (Music Video);2
Twisted Sister (Band);2
Twiztid (Band);2
The Ultimate Showdown of Ultimate Destiny - Lemon Demon (Music Video);2
UN1TY (Band);2
Unbreakable - Sinplus (Music Video);2
The Unicorns (Band);2
UNiTE (Japan Band);2
UnsraW;2
Utopia (Band);2
Vader (Band);2
VAMPIRE ROSE (Band);2
Vampires Everywhere!;2
Vazelina Bilopphøggers (Band);2
Venus Fly - Grimes ft. Janelle Monáe (Music Video);2
The Veronicas;2
Vesperteen (Band);2
VH1 Divas Las Vegas Concert;2
Vice†Risk;2
View from the Afternoon (Music Video);2
Village People (Band);2
La Vita Nuova - Christine and the Queens (Music Video);2
The Voice (Israel) RPF;2
Wainwright Family;2
Wake Me Up - Avicii (Music Video);2
Wakefire (Band);2
Walking on Broken Glass - Annie Lennox (Music Video);2
WASSUP (Band);2
We Appreciate Power - Grimes (Music Video);2
We Are the Fury;2
We Are The Heroes - Litesound (Music Video);2
We The Kings (Band);2
What Goes Around - Justin Timberlake (Music Video);2
Wheatus (Band);2
The Wife of Usher's Well (Traditional Ballad);2
Wild Orchid Children (Band);2
Wild Youth (Band);2
William Control (Band);2
Wings - Pixy (Music Video);2
Wise Guys (Germany Band);2
十二星宿 | XII Constellations (Band);2
Yeah Yeah Yeahs;2
Yelows Mob (Band);2
Yorushika (Band);2
You and I - Dreamcatcher (Music Video);2
You Belong With Me - Taylor Swift (Music Video);2
You Make Me Feel - Cobra Starship (Music Video);2
Zeromancer (Band);2
Zi:Kill (Band);2
ZIZ (Band);2
12 Stones (Band);1
The 13th Floor Elevators (Band);1
1NB (Band);1
4Ten (Band);1
504 Plan;1
777 | Triple 7 (Korea Band);1
7WEST;1
A-Teens (Sweden Band);1
A.DE (Band);1
A.I.VOICE;1
A$AP Mob;1
Abbey Death (Band);1
Ace of Base;1
Ace of Spades (Japan Band);1
Dat Adam (Band);1
Addiction (Japan Band);1
Adema (Band);1
Adrenaline Mob (Band);1
The Agonist;1
АИГЕЛ | AIGEL (Band);1
AILE (Band);1
Aiolin (Band);1
Airplane (Korea Band);1
AIsingers;1
AJJ (Band);1
Ak Dong Club;1
Alcest (Band);1
Aldious (Band);1
Alesana (Band);1
Alexandros (Japan Band);1
Ali Project (Band);1
Alice Cooper (Band);1
Aliene Ma'riage (Band);1
ALLS-GIRL (Korea Band);1
The Almost;1
Alone - Alan Walker (Music Video);1
ALPHA (Korea Band);1
alt-J (Band);1
Amanda Lopiccolo (Musician);1
Ambeon (Band);1
American Oxygen - Rihanna (Music Video);1
Amurekimuri (Band);1
Anaal Nathrakh (Band);1
Anavitória (Band);1
Anberlin;1
And You Give - Matthew Barber (Music Video);1
Andrew W. K. (Musician);1
Angus & Julia Stone;1
The Animals (Band);1
Anna Blue (Musician);1
Die Another Day - Madonna (Music Video);1
Anthem Lights (Band);1
ApeCrime (Band);1
Appelle mon numéro - Mylène Farmer (Music Video);1
Apple.B (Band);1
Arch Enemy (Band);1
Arege (Band);1
Argon (Korea Band);1
Ari Hest (Musician);1
The Arrogant Worms;1
Артерия | Arteria (Band);1
Артур Беркут | Arthur Berkut (Musician);1
Arven (Band);1
As December Falls (Band);1
Ashestoangels (Band);1
Asia (UK Band);1
ASIAN KUNG-FU GENERATION (Band);1
Assimilate (2019);1
At the Gates (Band);1
新しい学校のリーダーズ | Atarashii Gakkou no Leaders (Band);1
Atomic Kitten (Band);1
Augustana (Band);1
АукцЫон | Auktyon (Band);1
Aural Vampire;1
AvelCain (Band);1
AWS (Band);1
Aya (Musician);1
Ayria (Band);1
Ayumi Hamasaki (Musician);1
AZALEA (Japan Band);1
Aztec Camera (Band);1
The B-52s (Band);1
B5 (US Band);1
Babes in Toyland (Band);1
BabyKingdom (Band);1
Bad at Love - Halsey (Music Video);1
Bad Idea - Moon Bin & Sanha (Music Video);1
Bad Love - Key (Music Video);1
Bagman's Gambit - The Decemberists;1
BAISER (Band);1
Bananarama (Band);1
The Band (Canada Band);1
Bang Bang! (2014);1
The Bangles (Band);1
Bathory (Band);1
Bay City Rollers (Band);1
Be.A (Band);1
Beatcats (Band);1
Beautiful Trauma - P!nk (Music Video);1
BEcause - Dreamcatcher (Music Video);1
BECZ (Band);1
Beenzino (Musician);1
Belle and Sebastian;1
Belum Tidur - Hindia ft. Sal Priadi (Music Video);1
Ben Folds (Musician);1
Ben Howard (Musician) RPF;1
Ben&Ben (Band);1
Berry Bell (Band);1
Better Oblivion Community Center (Band);1
Betty - Brooke Fraser (Music Video);1
Between Raising Hell and Amazing Grace - Big & Rich (Music Video);1
Beyond My Control - Mylène Farmer (Music Video);1
Beyond the Veil - Lindsey Stirling (Music Video);1
Библиотека Просперо | Biblioteka Prospero (Band);1
Big Bad Bosses (Band);1
Big Sean (Musician) RPF;1
Bigflo & Oli (Band);1
Birdhouse in Your Soul - They Might Be Giants (Music Video);1
The Birthday Massacre (Band);1
美流沙女 | Birushana (1995 Soleil Band);1
BiS | Brand-new idol Society (Band);1
BiSH | Brand-new idol SHiT (Band);1
Bizzy Montana (Musician);1
Black Coffee - The Careless Lovers (Music Video);1
The Black Crowes (Band);1
Black Klaxon | Astaria (Band);1
Black Ring Dreams (Band);1
The Black Satans;1
THE BLACK SWAN (Band);1
Blackfield (Band);1
Blah Blah (Korea Band);1
Bleed in Me - Obscure Sphinx (Song Cycle);1
BlingBling (Korea Band);1
Blood (Japan Band);1
Blood Stain Child (Band);1
Bloodhound Gang (Band);1
The Bloody Beetroots;1
Blow - Ke$ha (Music Video);1
Blu-BiLLioN;1
The Blue Aces | The Aces (US Band);1
The Blue Stones (Band);1
BNK48;1
Bomb - AleXa (Music Video);1
Bon Iver (Band);1
Bonelace Weaver (Traditional Song);1
Bones UK (Band);1
BONUSbaby (Band);1
The BossHoss;1
BOYFRIENDS (Thailand Band);1
Boys Like Girls (Band);1
Boys World (US Band);1
Brave Girls (Korea Band);1
Breaking Pangaea (Band);1
Bree Sharp (Musician);1
Brett Eldredge (Musician);1
Brides of Destruction (Band);1
Britny Fox (Band);1
Broadside (Band);1
Broken Social Scene;1
Bros (UK Band);1
BTD (Before the Dawn) - Infinite (Music Video);1
Bubble Pop Electric - Gwen Stefani ft. Johnny Vulture;1
Budka Suflera (Band);1
bugAboo (Band);1
BUGVEL (Band);1
Build God Then We'll Talk - Panic! at the Disco (Music Video);1
Buono! (Band);1
Busker Busker (Band);1
Butch Walker and the Let's-Go-Out-Tonites;1
Butcher Babies (Band);1
Butterfly Syndrome (Band);1
Cacophony (Band);1
Cain's Offering;1
Cairokee (Band);1
CALABRESE (Band);1
California - Mylène Farmer (Music Video);1
Call Me When You're Sober - Evanescence (Music Video);1
Can't Remember to Forget You - Shakira ft. Rihanna (Music Video);1
Cane Hill (Band);1
CANIVAL (Band);1
El Canto del Loco;1
Caramella Girls (Virtual Band);1
Carrie Underwood (Musician);1
CatchingYourClouds;1
Catellena - Orange Caramel (Music Video);1
Cattle Decapitation (Band);1
Chameleon Circuit (Band);1
The Charlie Daniels Band (Band);1
Chayanne (Musician);1
CHELSEA (Japan Band);1
Cherry Glazerr (Band);1
The Chicks (US Band);1
쇼콜라 | Chocolat (Band);1
CHON (Band);1
筷子兄弟 | Chopstick Brothers (Band);1
Christian Burns (Musician);1
Chronic Future (Band);1
CHVRCHES (Band);1
Cirque - Sub Urban (Music Video);1
City of Angels - Coleman/Zippel/Gelbar;1
Ciuffi Rossi;1
Cleansing Cream - Brown Eyed Girls (Music Video);1
Click-B (Band);1
Clipping (US Band);1
Closer - The Chainsmokers ft. Halsey (Music Video);1
Cnema (Band);1
Coco Avenue (Band);1
Coconut Records;1
Çok Çok - Edis (Music Video);1
The Collective (Band);1
Color (Japan Band);1
The Color Fred (Band);1
Colors - Halsey (Music Video);1
Confide (Band);1
Coppelius (Band);1
Corey Harper (Musician);1
Corvus Corax (Band);1
Counting Crows (Band);1
Coverdale–Page (Band);1
Covette (Band);1
Coyote Milk Store (Band);1
CrazyEightyEight (Band);1
CRAZYNO (Musician);1
Creedence Clearwater Revival (Band);1
Crestillion (Band);1
Crossfaith (Band);1
Crucifixion (Japan Band);1
Cry Cry - T-ara (Music Video);1
Cuenta Pendiente - Paty Cantú ft. Alejandro Sanz (Music Video);1
Cursed Sails (Band);1
The Cybertronic Spree (Band);1
D-Unit;1
Dà Táng Hóng Yán Fù | Tang Dynasty Girl Poem (Music Video);1
Daddy Yankee (Musician);1
DaizyStripper;1
Damn Yankees (Band);1
The Dandy Warhols;1
Danger Danger (Band);1
daoko (Musician);1
Dark Horse - Katy Perry (Music Video);1
Dark Night - E ve (Music Video);1
Dark Tranquility (Band);1
暗い森のサーカス | Dark Woods Circus Series - Machigerita-P (Songs);1
Dashboard Confessional;1
Daughter (Band);1
Davey Suicide (Musician);1
Davichi;1
Day by Day - T-ara (Music Video);1
A Day in the Life of a Poolshark - Idiot Pilot (Music Video);1
Day Job Orchestra (Band);1
白日梦症候群 | DayDream Syndrome (Band);1
Days Gone By (Band);1
DAYWALKER! - Machine Gun Kelly ft. CORPSE (Music Video);1
Dead By Sunrise;1
deadman (Band);1
Death Cab For Cutie (Band);1
Deicide (Band);1
Demi the Daredevil (Musician);1
DEMION (Band);1
Demons Are A Girl's Best Friend - Powerwolf (Music Video);1
でんぱ組.inc | Dempagumi.inc (Band);1
Dernière Danse - Indila (Music Video);1
The Desert Sessions;1
Deutschland sucht den Superstar;1
Deviloof (Band);1
Diabulus in Musica (Band);1
Diamonds - Rihanna (Music Video);1
Diana Ross (Musician);1
Diary of Dreams (Band);1
Dices Que Te Vas - Karol G & Anuel AA (Music Video);1
DICKIDS (Korea Band);1
Die in Cries (Band);1
The Dillinger Escape Plan (Band);1
Dinner & Diatribes - Hozier (Music Video);1
Diorama (Germany Band);1
La Dispute (Band);1
The Distillers;1
Disturbia - Rihanna (Music Video);1
Dizaster (Musician) RPF;1
DMX (Musician) RPF;1
Do Or Die - AleXa (Music Video);1
Doce (Band);1
The Dolphin Brothers (Band);1
Don Broco (Band);1
Don Henley (Musician);1
Don't Pay the Ferryman - Chris de Burgh (Music Video);1
Don't Shoot Up the Party - Brockhampton (Music Video);1
Don't Sing - DATA ft. Benny Sings (Music Video);1
Donutman (Korea Musician);1
The Doobie Brothers (Band);1
Dorothy (Korea Band);1
Los Dos Carnales (Band);1
Doug Yowell (Musician);1
downy (Band);1
Dragonforce (Band);1
Dreamboys (Band);1
Drowners (Band);1
Dué le Quartz;1
Dumbfoundead (Musician);1
A Dustland Fairytale - The Killers (Music Video);1
E-Rotic (Band);1
Eazy-E (Musician);1
Echobrain;1
Echosmith (Band);1
Egil Saga - Faun (Music Video);1
Eidola (Band);1
Eighteen Visions (Band);1
Elastic Heart - Sia (Music Video);1
Ellas Bailan Sola;1
Eluveitie (Band);1
Emily - MIKA (song);1
Emmure (Band);1
En la Mar - Cécile Corbel (Music Video);1
England 2 Colombia 0 - Kirsty MacColl;1
円神 | Enjin (Band);1
Envy On The Coast;1
Envy Project (Band);1
Эпидемия | Epidemia (Band);1
Erasure (Band);1
Erik Hassle (Musician);1
ERO-2012 - Yamapi (Music Video);1
Error - VIXX (Music Video);1
EskEmo (Band);1
Eskimo Joe (Band);1
Eternal Summer - Mayday (Music Video);1
Eurydice - Sleepthief ft. Jody Quine (Music Video);1
Evlenmene Bak - İrem Derici (Music Video);1
Exodus (US Band);1
Express Yourself - Madonna (Music Video);1
The Faceless (Band);1
Fahrrad fahr'n - Max Raabe (Music Video);1
The Faim (Band);1
Fair to Midland (Band);1
Th' Faith Healers (Band);1
Fantasy - DyE (Music Video);1
Far (Band);1
Fear and Loathing in Las Vegas (Band);1
Феллини - БИ-2 & Сплин | Fellini - BI-2 & Splin (Music Video);1
Fettes Brot;1
Fight for the Eight - Kanjani8 (song);1
The Fine Art of Poisoning - Jill Tracy (Music Video);1
Fire - Kasabian (Music Video);1
The Firm (Band);1
First and Forever (Band);1
Five (Band);1
Five For Fighting (Musician);1
The FLARE (Japan Band);1
Fler (Musician);1
Flesh and Blood (1985);1
Fleshgod Apocalypse;1
Florida Georgia Line (Band);1
Fly - Nicki Minaj ft. Rihanna (Music Video);1
Follow - Monsta X (Music Video);1
Fools Rush In (Band);1
포레스텔라 | Forestella (Band);1
Forever the Sickest Kids;1
遗忘俱乐部 | Forgotten Club (Band);1
Fort Hope (Band);1
Forte di Quattro (Band);1
Foxy Shazam;1
FPL (Korea Band);1
Free (Band);1
Freewheel - Duke Special (Music Video);1
Froggy Fresh (Musician);1
Frozen - Madonna (Music Video);1
風男塾 | Fudanjuku (Band);1
Fur (UK Band);1
Fury in the Slaughterhouse;1
Future (Musician);1
G.NA (Musician) RPF;1
G.Soul (Musician);1
Galantis (Band);1
GANG PARADE (Japan Band);1
GARNET CROW (Band);1
Gaslight Anthem (Band);1
Gastunk;1
GE+IM (Band);1
GEM (Japan Band);1
Gemini Syndrome (Band);1
Get It In - Yoon Mirae (Music Video);1
Get Some - Ghosted (Music Video);1
The Getaway Plan (Band);1
The Ghost of a Sabre Tooth Tiger (Band);1
Ghost of the Robot;1
Ghost Town - Adam Lambert (Music Video);1
Gift (Korea Band);1
GIGAMOUS;1
Ginex (Band);1
Girl'e (Band);1
Gizmodrome (Band);1
Go Away - 2NE1 (Music Video);1
Gold - Ria Mae (Music Video);1
Goo Goo Dolls (Band);1
Goo's (Band);1
Good Grief - Dessa (Music Video);1
Goosehouse (Band);1
Gorgoroth (Norway Band);1
Gossip (Japan Band);1
Gossip (US Band);1
Grace Jeanette (Musician);1
Graduate (Band);1
The Grand Magnolias (Band);1
The Grateful Dead (Band);1
Gravity - Vienna Teng (Music Video);1
Gravity (Japan Band);1
The Gray Havens (Band);1
Green Green Grass of Home - Tom Jones (song);1
Grimoire (Japan Band);1
Grizzly Bear (Band);1
Guilty Verse - Peperon-P (Music Video);1
Gummy (Musician);1
Ha-He - Just a Band (Music Video);1
Haijin Kurobara Zoku;1
Haircut 100 (Band);1
Hands Like Houses (Band);1
hard rain - Lykke Li (Music Video);1
Harry and the Potters (Band);1
ハルレオ | Haruleo (Band);1
해쉬스완 | Hash Swan (Musician);1
Hatebreed (Band);1
Haunted Obachestra;1
Hawkwind (Band);1
Heart Attack Man (Band);1
Heart Forecast - E ve (Music Video);1
Heartist (Band);1
The Heathens (Band);1
Heavy - Linkin Park ft. Kiiara (Music Video);1
Heavy Stereo (Band);1
Heirsound (Band);1
ヘイセイプロジェクト | Heisei Project - Zips (Songs);1
Helena Beat - Foster The People (Music Video);1
Hello (From Under the Tree) - Scot Haney & Nicole Nalepa (Music Video);1
Here Comes the Rain Again - Dikla (Music Video);1
Here's To Never Growing Up - Avril Lavigne (Music Video);1
Herman's Hermits (Band);1
Hevisaurus (Band);1
Hey Jealousy - Gin Blossoms (song);1
Hide - Little May (Music Video);1
High Color (Korea Band);1
Hitorie (Band);1
The Hoax (Band);1
Hollywood Forever Cemetery Sings - Father John Misty (Music Video);1
Hollywood Vampires (Band);1
Holmes Crew (Band);1
Holy - Zolita (Music Video);1
Honey Magpie (Band);1
Honey Popcorn (Band);1
Hot Blood Youth (Band);1
House of Heroes (Band);1
House'llelujah - Stromae (Music Video);1
Howard Jones (Musician);1
Huitzil - Porter (Music Video);1
HUNNY (Band);1
hurts (Japan Band);1
Í Gøtu Ein Dag - Xperiment (Music Video);1
I Would Do Anything For Love (But I Won't Do That) - Meat Loaf (Music Video);1
I Write Sins Not Tragedies - Panic! at the Disco (Music Video);1
ICU (Korea Band);1
Idle Race;1
If You See Him - Reba McEntire (song);1
Ignite - K-391 & Alan Walker ft. Julie Bergan & Seungri (Music Video);1
IGO (China Band);1
Immortal (Norway Band);1
Imogen Heap (Musician);1
In Flames (Band);1
Infant Annihilator (Band);1
InnerS (Band);1
Inspire the Liars - Dance Gavin Dance (Music Video);1
INX (Band);1
Iolite (Musician) RPF;1
ISOLA;1
It Just Feels - Jihae (Music Video);1
Ivy Levan (Musician);1
Jack's Mannequin;1
The Jackson 5 (Band);1
Jai Waetford (Musician);1
James Durbin (Musician);1
Jamie T (Musician) RPF;1
Janne Da Arc;1
The Jeff Beck Group (Band);1
Jessie J (Musician);1
Jet (Band);1
Jewelry (Band);1
JiHAE (Musician);1
JJY Band | Drug Restaurant (Band);1
Jodeci (Band);1
Joe Jackson (Musician);1
Johnny Soviet and the Reds;1
Jonathan Young (Musician) RPF;1
Jooyoung (Musician);1
Joseph Arthur (Musician);1
Joss Stone;1
JPM;1
Jr. EXILE (Band);1
Jr. EXILE from Project TARO;1
Judah & the Lion (Band);1
Julien Doré (Musician);1
July Talk (Band);1
K3 (Band);1
Kami Band (Band);1
Kannivalism;1
Kanon x Kanon (Band);1
Kansas (Band);1
Katatonia (Band);1
Kate Rowe (Musician);1
Kazino - BIBI (Music Video);1
Kehlani (Musician);1
Khalil (Musician) RPF;1
King Diamond (Band);1
King Princess (Musician) RPF;1
Kings - The Pierces (Music Video);1
Kings & Queens - Ava Max (Music Video);1
Kingsland Road (Band);1
Kiss&Cry (Band);1
Kisum (Musician);1
Kitcaliber (Band);1
KittiB (Musician);1
Klaxons;1
Kodaline (Band);1
Koi Aanay Wala Hai - Strings (Music Video);1
The Kooks (UK Band);1
Король и Шут | Korol i Shut (Band);1
KSHMR (Musician) RPF;1
L'canchon dormoire | Le p'tit Quinquin - Alexandre Desrousseaux (Soing);1
La'veil MizeriA (Band);1
Lacrimosa (Band);1
Lady (Musician);1
LaFee (Musician);1
Лайки - БИ-2 | Laiki - BI-2 (Music Video);1
Lawson (Band);1
LC9 (Korea Band);1
Leaves' Eyes (Band);1
Lee Hyori (Musician);1
Leftöver Crack (Band);1
Legend of a Cowgirl - Imani Coppola (Music Video);1
LEO - E ve (Music Video);1
Leona Lewis (Musician);1
Leonard Cohen (Musician);1
Less Than Jake;1
Level 42 (Band);1
Lifelover (Band);1
Lights (Musician) RPF;1
Lil Jon (Musician);1
Little Big Town (Band);1
Lizzy Borden (Band);1
LMFAO;1
The Lochmaben Harper (Traditional Ballad);1
Lock (Band);1
Loggins & Messina (Band);1
Lolita23q (Band);1
Lolly Lolly Lolly Get Your Adverbs Here - Bob Dorough (Music Video);1
Lombard (Poland Band);1
London (US American Band);1
Looking Glass (Band);1
Loose Tapestries (Band);1
Loreena McKenitt (Singer);1
술이 달다 (LOVEDRUNK) - Epik High (Music Video);1
Lovey-Dovey - T-ara (Music Video);1
米奇老味神奇屋 | The Low Mays (Band);1
Lucifer's Underground;1
Lucy Spraggan (Musician);1
Luigi Russolo (Musician);1
Lupe Fiasco (Musician);1
LUPO LABEL (Band);1
Lustknot. (Band);1
Lyle Lovett and his Acoustic Group (Band);1
M!LK (Band);1
M.O.L.A (Korea Band);1
M.pire;1
Mad Season (Band);1
Madmans Esprit (Band);1
Magazine (UK Band);1
Магелланово Облако | Magellanovo Oblako (Band);1
Maggie Rogers (Musician) RPF;1
Magic Man (Band);1
Mägo de Oz (Band);1
Majestica | ReinXeed (Band);1
MAKEOUT (Band);1
The Mamas and The Papas (Band);1
Mamireta (Band);1
Mandragora Scream (Band);1
MANTA (Band);1
Many Moons - Janelle Monáe (Music Video);1
Manzini (Musician);1
Marcus & Martinus (Band);1
Maren Morris (Musician);1
Marilyn (UK Musician) RPF;1
Mark Lanegan (Musician);1
Mark Ronson (Musician);1
Marmozets (Band);1
Married to a Mermaid (Traditional Song);1
Marry Me - Thomas Rhett (Music Video);1
Mary Jane's Last Dance - Tom Petty and the Heartbreakers (Music Video);1
Massive Attack (Band);1
The Matches (Band);1
Material Issue (Band);1
Mathilda (Japan Band);1
Matilda (Korea Band);1
Max George (Musician);1
MBAND (Russia Band);1
La Mejor Versión de Mi - Natti Natasha (Music Video);1
MELLO (Japan Band);1
Melody Day (Band);1
-the MelT-;1
The Melvins (Band);1
Mendilimde Kırmızım Var - Mabel Matiz ft. Sibel Gürsoy (Music Video);1
MerCurius (Band);1
Meredith Brooks (Musician);1
The Merry Widow - Takarazuka Revue;1
Merzbow (Musician) RPF;1
Metronome (Japan Band);1
MIANHAE | Sorry - Heize (Music Video);1
Michael Guy Chislett (Musician);1
Michael Levine (Musician);1
道 | Michi - yumirose (Minna no Uta Music Video);1
Mickey Avalon (Musician);1
Midland (US Band);1
The Midnight Beast (Band);1
Milky Chance (Band);1
Millionaires (Band);1
Mini Pop Kids (Canada Band);1
痛仰 | Miserable Faith (Band);1
Misery - Maroon 5 (Music Video);1
MISIA (Musician) RPF;1
Mission Impossible - The Piano Guys ft. Lindsey Stirling (Music Video);1
Misterwives (Band);1
Monster Night - Ueda Tatsuya (Music Video);1
MOON CHILD (Band);1
Moovalya (Band);1
Morat (Band);1
Morgan (UK Band);1
Morning Bond;1
Morphine (Band);1
Mr. Fox - Frankie Armstrong (song);1
MU (Japan Band);1
Murder on the Dance Floor - Sophie Ellis-Bextor (Music Video);1
The Murlocs (Band);1
My Personal Murderer (Band);1
n'DooL (Japan Band);1
N/A (Japan Band);1
NANDA (Band);1
Narwhals - MrWeebl (Music Video);1
Natalie (Japan Band);1
Nazz (Band);1
NC.A (Musician);1
Ne pleure pas Jeannette (Traditional Song);1
Neko Case (Musician) RPF;1
NeonPunch (Band);1
The Neptunes;1
NERO (Band);1
Нервы | Nervi (Band);1
Neutral Milk Hotel (Band);1
New Rules (Band);1
Nico (German Musician) RPF;1
Night Ranger (Band);1
Nikita - Elton John (Music Video);1
NiziU (Band);1
No Devotion (Band);1
NO ハウス | Hoshi NO House (Band);1
高尚 - 薛之谦 | Noble - Joker Xue (Music Video);1
Ночные Снайперы | Nochnye Snaipery (Band);1
Noel Torres (Musician);1
North Til Dawn (Band);1
Not My God (Band);1
Nova Twins (Band);1
THE NOVEMBERS (Band);1
내일은 없어 (Now) | Now (There Is No Tomorrow) - Trouble Maker (Music Video);1
Nu'Bility (Band);1
Les nuits d'été - Berlioz;1
The Oak Ridge Boys (Band);1
Odin (US Band);1
Oh Sleeper (Band);1
Oh Wonder (Band);1
OHBliss (Band);1
ohGr (Band);1
Olek Grotowski (Musician);1
Omega Dripp (Band);1
Once Human (Band);1
